"Top 50 values of username.keyword","Count of records"
root,49013
admin,3242
345gs5662d34,2353
sh,754
enable,722
ubuntu,637
user,527
oracle,456
steam,447
guest,437
postgres,418
test,406
ftpuser,376
testuser,349
dev,346
deploy,334
debian,302
server,300
odoo,264
Admin,209
default,206
hadoop,177
mysql,168
sammy,167
git,155
newuser,151
ftp,149
es,147
zyfwp,144
ubnt,142
vadmin,131
support,130
user1,119
solana,113
jenkins,112
pi,107
centos,103
frappe,99
sol,99
fliruser,98
blank,96
yhtcAdmin,88
node,79
jito,77
daemon,67
bin,66
"Xpon@Olt9417#",61
redis,61
ONTUSER,60
dolphinscheduler,60
